Year,Week,t,Deaths,Exposure,sn52,cs52,include,Baseline,lp,up,PopCode,Sex,Age,Date,mx_b,mx_b_u,mx_b_l,mx_d
2016,1,1,10,8865.378020785103,0.12053668025532305,0.992708874098054,0,10.272260100193922,4,17.024999999999864,GRC,b,0,2016-01-10,115.86939751593611,192.03918840329558,45.11933941927686,112.79834854819215
2016,2,2,7,8857.630238315965,0.23931566428755774,0.970941817426052,0,10.285609642796969,4,18,GRC,b,0,2016-01-17,116.12146100097867,203.21462417946003,45.15880537321334,79.02790940312335
2016,3,3,13,8849.881723356044,0.3546048870425356,0.9350162426854148,0,10.298967801888818,4,17,GRC,b,0,2016-01-24,116.37407282753213,192.0929627244021,45.198344170447555,146.89461855395456
2016,4,4,13,8842.132302168913,0.4647231720437685,0.8854560256532099,0,10.312334347304363,4,18,GRC,b,0,2016-01-31,116.62723418846402,203.57080605528517,45.237956901174485,147.02335992881706
2016,5,5,8,8834.381801018153,0.5680647467311558,0.8229838658936564,0,10.325709046950756,4,18,GRC,b,0,2016-02-07,116.88094627923743,203.74940098157768,45.27764466257282,90.55528932514564
2016,6,6,8,8826.630046167335,0.6631226582407952,0.7485107481711011,0,10.339091666797112,4,18,GRC,b,0,2016-02-14,117.13521029791559,203.92833851483206,45.31740855885157,90.63481711770314
2016,7,7,15,8818.876863880037,0.7485107481711011,0.6631226582407953,0,10.352481970864345,5,18,GRC,b,0,2016-02-21,117.39002744516797,204.10762365583759,56.69656212662155,170.08968637986467
2016,8,8,10,8811.122080419833,0.8229838658936564,0.5680647467311559,0,10.365879721214956,4,18,GRC,b,0,2016-02-28,117.64539892427688,204.28726143744834,45.39716920832185,113.49292302080462
2016,9,9,11,8803.365522050302,0.8854560256532099,0.4647231720437686,0,10.379284677942527,4,18,GRC,b,0,2016-03-06,117.90132594114067,204.4672569248017,45.43716820551148,124.95221256515659
2016,10,10,12,8795.607015035019,0.9350162426854148,0.35460488704253557,0,10.392696599161605,5,18,GRC,b,0,2016-03-13,118.15780970428256,204.64761521554104,56.84655978209473,136.43174347702737
2016,11,11,15,8787.84638563756,0.970941817426052,0.23931566428755804,0,10.406115240997112,5,18,GRC,b,0,2016-03-20,118.41485142485392,204.82834144004096,56.896761511122484,170.69028453336747
2016,12,12,10,8780.0834601215,0.992708874098054,0.120536680255323,0,10.419540357573972,4,18,GRC,b,0,2016-03-27,118.67245231664103,205.00944076163617,45.557653502585815,113.89413375646454
2016,13,13,13,8772.318064750412,1,-1.6081428723391245e-16,0,10.432971701006622,5,17,GRC,b,0,2016-04-03,118.93061359607071,193.79142291147284,56.99747732690377,148.1934410499498
2016,14,14,7,8764.550025787876,0.992708874098054,-0.12053668025532288,0,10.446409021388492,4,18,GRC,b,0,2016-04-10,119.18933648221635,205.37277951564795,45.638395447921766,79.86719203386309
2016,15,15,10,8756.77916949747,0.9709418174260521,-0.2393156642875575,1,10.459852066781343,5,17,GRC,b,0,2016-04-17,119.44862219680262,194.13530558377195,57.09861928934469,114.19723857868938
2016,16,16,11,8749.005322142762,0.9350162426854148,-0.35460488704253545,1,10.473296061722637,4,17,GRC,b,0,2016-04-24,119.70842028425662,194.30780270501018,45.71948298941416,125.72857822088895
2016,17,17,12,8741.228309987335,0.8854560256532099,-0.4647231720437685,1,10.486718096357691,5,18,GRC,b,0,2016-05-01,119.96847267306859,205.92071687950317,57.200199133195326,137.28047791966878
2016,18,18,11,8733.447959294761,0.8229838658936565,-0.5680647467311557,1,10.500090609916356,5,18,GRC,b,0,2016-05-08,120.22846713984718,206.10416508915142,57.25115696920873,125.9525453322592
2016,19,19,8,8725.664096328617,0.7485107481711013,-0.663122658240795,1,10.51338590151634,4,18,GRC,b,0,2016-05-15,120.48808876266415,206.28802348205934,45.84178299601319,91.68356599202637
2016,20,20,8,8717.87654735248,0.6631226582407952,-0.7485107481711012,1,10.526576131819787,5,18,GRC,b,0,2016-05-22,120.74701992673421,206.47229749389368,57.35341597052602,91.76546555284163
2016,21,21,11,8710.085138629922,0.5680647467311558,-0.8229838658936564,1,10.539633325424102,5,17.024999999999864,GRC,b,0,2016-05-29,121.00494033841285,195.46307216324018,57.40472016541608,126.29038436391538
2016,22,22,10,8702.289696424525,0.46472317204376906,-0.8854560256532096,1,10.552529373993455,5,17,GRC,b,0,2016-06-05,121.26152704763587,195.3508857213145,57.456142859210146,114.91228571842029
2016,23,23,7,8694.49004699986,0.35460488704253584,-0.9350162426854147,1,10.565236040136393,5,18,GRC,b,0,2016-06-12,121.51645447891515,207.02766812886424,57.507685591351176,80.51075982789165
2016,24,24,6,8686.686016619504,0.23931566428755768,-0.970941817426052,1,10.577724962036044,4,17,GRC,b,0,2016-06-19,121.76939447101662,195.7017896983422,46.04747992902169,69.07121989353254
2016,25,25,8,8678.877431547033,0.12053668025532308,-0.992708874098054,1,10.589967658837615,4,17,GRC,b,0,2016-06-26,122.02001632542844,195.87786708689242,46.08890990279822,92.17781980559644
2016,26,26,15,8671.064118046026,-3.216285744678249e-16,-1,1,10.601935536798752,5,17,GRC,b,0,2016-07-03,122.26798686373729,196.05436851308684,57.663049562672605,172.98914868801782
2016,27,27,13,8663.245902380053,-0.12053668025532283,-0.992708874098054,0,10.613599896207196,4,17.024999999999864,GRC,b,0,2016-07-10,122.51297049401913,196.5198747887623,46.17207043495187,150.05922891359359
2016,28,28,12,8655.423113423001,-0.23931566428755743,-0.9709418174260521,0,10.62493255604723,5,17,GRC,b,0,2016-07-17,122.75462928634737,196.4086535947164,57.76725105726953,138.64140253744688
2016,29,29,7,8647.598090489973,-0.3546048870425356,-0.9350162426854148,0,10.635907722965559,5,18,GRC,b,0,2016-07-24,122.99262305751917,208.15028417885364,57.8195233830149,80.94733273622086
2016,30,30,13,8639.773675506392,-0.46472317204376806,-0.8854560256532101,0,10.646500165783907,5,18,GRC,b,0,2016-07-31,123.22660946508992,208.33879076056917,57.87188632238033,150.46690443818886
2016,31,31,10,8631.952710397667,-0.5680647467311556,-0.8229838658936565,0,10.656684609677685,5,18,GRC,b,0,2016-08-07,123.45624411080375,208.52755574434508,57.924321040095855,115.84864208019171
2016,32,32,10,8624.138037089215,-0.663122658240795,-0.7485107481711013,0,10.666435745459253,5,18,GRC,b,0,2016-08-14,123.6811806534969,208.71651082796546,57.97680856332374,115.95361712664749
2016,33,33,10,8616.332497506444,-0.7485107481711011,-0.6631226582407952,0,10.67572823943336,5,18,GRC,b,0,2016-08-21,123.9010709315466,208.9055872113707,58.02932978093631,116.05865956187262
2016,34,34,7,8608.53893357478,-0.8229838658936564,-0.5680647467311559,0,10.684536743822695,5,18,GRC,b,0,2016-08-28,124.11556509492183,209.09471559450012,58.081865442916694,81.31461162008338
2016,35,35,13,8600.760187219632,-0.8854560256532096,-0.4647231720437691,0,10.69283590776171,5,18,GRC,b,0,2016-09-04,124.32431174689437,209.28382617558904,58.13439615988584,151.1494300157032
2016,36,36,14,8592.999100366414,-0.9350162426854147,-0.3546048870425359,1,10.7006003888553,5,18,GRC,b,0,2016-09-11,124.52695809544555,209.4728486499255,58.186902402757084,162.92332672771985
2016,37,37,17,8585.258514940544,-0.970941817426052,-0.23931566428755774,1,10.707804865298911,4.975000000000044,18,GRC,b,0,2016-09-18,124.7231501144036,209.6617122090779,57.94816768000955,198.01383930857358
2016,38,38,8,8577.541272867431,-0.992708874098054,-0.12053668025532357,1,10.71442404855539,5,18,GRC,b,0,2016-09-25,124.91253271432655,209.85034554060135,58.291762650167044,93.26682024026726
2016,39,39,6,8569.850216072498,-1,-1.836909530733566e-16,1,10.72043269658343,5,17,GRC,b,0,2016-10-02,125.09474992313842,198.36986144888516,58.344076896730925,70.01289227607711
2016,40,40,13,8562.188186481151,-0.992708874098054,0.1205366802553232,1,10.72580562761162,5,18,GRC,b,0,2016-10-09,125.2694450765122,210.2266337525753,58.39628715349314,151.83034659908216
2016,41,41,18,8554.558026018813,-0.9709418174260521,0.23931566428755738,1,10.730517734451247,4,17,GRC,b,0,2016-10-16,125.43626101797688,198.72446885384673,46.75869855384629,210.41414349230828
2016,42,42,16,8546.962576610893,-0.9350162426854148,0.35460488704253557,1,10.734543999339758,5,18,GRC,b,0,2016-10-23,125.5948403087112,210.6011327258847,58.500314646079076,187.20100686745306
2016,43,43,11,8539.40468018281,-0.8854560256532101,0.464723172043768,1,10.737859509306949,5,18,GRC,b,0,2016-10-30,125.74482544697804,210.78752763377247,58.55209100938124,128.81460022063874
2016,44,44,8,8531.887178659974,-0.822983865893657,0.5680647467311548,1,10.740439472053565,5,18,GRC,b,0,2016-11-06,125.88585909712496,210.9732539012207,58.603681639227965,93.76589062276474
2016,45,45,12,8524.412913967804,-0.7485107481711011,0.6631226582407952,1,10.742259232332318,5,17,GRC,b,0,2016-11-13,126.0175843280706,199.42722357036922,58.655065755990954,140.7721578143783
2016,46,46,5,8516.984728031712,-0.6631226582407955,0.7485107481711007,0,10.743294288819811,5,17,GRC,b,0,2016-11-20,126.13964486117617,199.6011563112046,58.70622244447194,58.70622244447194
2016,47,47,13,8509.605462777115,-0.5680647467311559,0.8229838658936564,0,10.743520311466641,5,18,GRC,b,0,2016-11-27,126.25168532737693,211.52567035846675,58.75713065512965,152.7685397033371
2016,48,48,16,8502.277960129426,-0.4647231720437684,0.88545602565321,0,10.742913159312769,5,18,GRC,b,0,2016-12-04,126.35335153344286,211.7079691396727,58.807769205464645,188.18486145748685
2016,49,49,11,8495.005062014063,-0.35460488704253595,0.9350162426854147,0,10.741448898752934,5,18,GRC,b,0,2016-12-11,126.44429073720016,211.88922041362997,58.85811678156388,129.48785691944053
2016,50,50,9,8487.789610356436,-0.2393156642875578,0.970941817426052,0,10.739103822237396,5,18,GRC,b,0,2016-12-18,126.52415193154651,212.06934698330852,58.90815193980792,106.03467349165426
2016,51,51,14,8480.634447081964,-0.12053668025532363,0.992708874098054,0,10.73585446739084,5,17,GRC,b,0,2016-12-25,126.5925861370532,200.45670056972446,58.95785310874249,165.08198870447896
2016,52,52,10,8473.542414116058,6.432571489356498e-16,1,0,10.73167763653216,5,19,GRC,b,0,2017-01-01,126.64924670294064,224.22735464624495,59.00719859111709,118.01439718223418
2017,1,53,8,8466.516353384137,0.12053668025532314,0.992708874098054,0,10.726550416576034,5,17,GRC,b,0,2017-01-08,126.69378961618071,200.79096632471465,59.05616656609254,94.48986650574807
2017,2,54,11,8459.559106811612,0.23931566428755732,0.9709418174260521,0,10.72045019929685,5,18,GRC,b,0,2017-01-15,126.72587381846859,212.77704632983122,59.10473509161979,130.03041720156352
2017,3,55,11,8452.6735163239,0.3546048870425355,0.9350162426854148,0,10.713354701933843,5,18,GRC,b,0,2017-01-22,126.74516153077592,212.95037558517072,59.15288210699187,130.1363406353821
2017,4,56,11,8445.862423846413,0.46472317204376795,0.8854560256532102,0,10.705241988115521,4,18,GRC,b,0,2017-01-29,126.75131858517939,213.12210756805632,47.36046834845696,130.24128795825663
2017,5,57,9,8439.128671304572,0.5680647467311555,0.8229838658936566,0,10.696090489080078,5,18,GRC,b,0,2017-02-05,126.74401476363093,213.29216203569806,59.247822787693906,106.64608101784903
2017,6,58,4,8432.475100623788,0.6631226582407952,0.7485107481711011,0,10.685879025167777,5,18,GRC,b,0,2017-02-12,126.72292414331937,213.46045834951187,59.294571763753304,47.43565741100264
2017,7,59,11,8425.904553729473,0.7485107481711007,0.6631226582407956,0,10.674586827559985,4,18.024999999999864,GRC,b,0,2017-02-19,126.6877254482452,213.92361953615577,47.47264788597113,130.5497816864206
2017,8,60,12,8419.419872547045,0.8229838658936558,0.5680647467311567,0,10.66219356023826,5,17,GRC,b,0,2017-02-26,126.63810240660595,201.91414916164712,59.386514459307975,142.52763470233913
2017,9,61,6,8413.023899001919,0.8854560256532099,0.46472317204376845,0,10.648679342136123,5,17,GRC,b,0,2017-03-05,126.57374411356933,202.06765372456388,59.431662860165844,71.31799543219901
2017,10,62,10,8406.719475019509,0.9350162426854147,0.354604887042536,0,10.634024769454976,5,18,GRC,b,0,2017-03-12,126.49434539898571,214.1144361184745,59.476232255131805,118.95246451026361
2017,11,63,4,8400.509442525228,0.970941817426052,0.23931566428755785,0,10.618210938114487,5,17,GRC,b,0,2017-03-19,126.39960719956774,202.36867914155607,59.52019974751649,47.61615979801319
