Country,Sex,Age,Deaths,baseline,excess,excess_lp,excess_up,last_week,last_date
Austria,b,0,67,49.40427655207107,17.595723447928936,0,57,22,2020-06-01
Austria,b,5,4,2.5395385712242238,1.460461428775776,0,4,22,2020-06-01
Austria,b,10,4,2.214379804899906,1.7856201951000938,0,4,22,2020-06-01
Austria,b,15,19,11.997911254380384,7.002088745619617,0,19,22,2020-06-01
Austria,b,20,17,13.580953025087272,3.419046974912729,0,14,22,2020-06-01
Austria,b,25,35,23.471852136197864,11.528147863802136,0,30,22,2020-06-01
Austria,b,30,38,32.015881864613796,5.984118135386205,0,28,22,2020-06-01
Austria,b,35,55,39.403112552686,15.596887447314,0,40,22,2020-06-01
Austria,b,40,186,136.7871637096876,49.2128362903124,2.9750000000001364,130,22,2020-06-01
Austria,b,45,162,132.54251776620086,29.457482233799144,0,88,22,2020-06-01
Austria,b,50,385,339.1535853921438,45.846414607856246,0,163.02499999999995,22,2020-06-01
Austria,b,55,828,679.178106705545,148.82189329445492,25,341,22,2020-06-01
Austria,b,60,950,833.6213770084706,116.37862299152933,4.975000000000136,309,22,2020-06-01
Austria,b,65,1132,1032.2080314204459,99.79196857955412,0,315.025,22,2020-06-01
Austria,b,70,1742,1491.8381658097398,250.16183419026012,24,513.025,22,2020-06-01
Austria,b,75,2367,2078.1147334094594,288.8852665905405,51,591.1249999999998,22,2020-06-01
Austria,b,80,3263,2800.5736273149087,462.42637268509145,151,837.0749999999998,22,2020-06-01
Austria,b,85,1337,1242.6118098538639,94.3881901461362,0,245.02499999999992,22,2020-06-01
Austria,b,90,1512,1439.4859472603414,72.51405273965858,0,259.025,22,2020-06-01
Austria,b,95,1274,1112.5542087382723,161.44579126172766,15,386.025,22,2020-06-01
Austria,b,100,457,380.52717350080337,76.47282649919664,4,202.02499999999995,22,2020-06-01
Austria,b,All,15834,13873.824353651044,1960.175646348957,277.9500000000003,4575.374999999999,22,2020-06-01
Austria,f,0,35,18.818267126230413,16.181732873769587,1,35,22,2020-06-01
Austria,f,5,2,1.0991608361241547,0.9008391638758453,0,2,22,2020-06-01
Austria,f,15,5,2.644749488866719,2.355250511133281,0,5,22,2020-06-01
Austria,f,20,4,2.4025367605528505,1.5974632394471497,0,4,22,2020-06-01
Austria,f,25,9,7.06748113727201,1.9325188627279903,0,9,22,2020-06-01
Austria,f,30,21,14.763100619140376,6.236899380859623,0,21,22,2020-06-01
Austria,f,35,44,29.92583957923648,14.07416042076352,1,44,22,2020-06-01
Austria,f,40,53,35.754754510693814,17.245245489306186,0,45.024999999999956,22,2020-06-01
Austria,f,45,48,41.421565621530476,6.578434378469524,0,33,22,2020-06-01
Austria,f,50,133,118.87000980839315,14.129990191606852,0,77.02499999999995,22,2020-06-01
Austria,f,55,292,230.68112958521965,61.31887041478036,1,164.02499999999995,22,2020-06-01
Austria,f,60,310,253.24064095590845,56.75935904409155,0,155.02499999999995,22,2020-06-01
Austria,f,65,293,274.96075776974595,18.039242230254068,0,108,22,2020-06-01
Austria,f,70,591,487.5531085271935,103.44689147280651,8,237,22,2020-06-01
Austria,f,75,1015,862.5953375867542,152.40466241324572,8,340.025,22,2020-06-01
Austria,f,80,1212,1040.517569708119,171.48243029188103,7,374.025,22,2020-06-01
Austria,f,85,924,872.433945776484,51.566054223516005,0,188.02499999999998,22,2020-06-01
Austria,f,90,1220,1143.6406192934242,76.35938070657585,0,265.0499999999999,22,2020-06-01
Austria,f,95,922,781.9310915999303,140.0689084000697,8,325,22,2020-06-01
Austria,f,100,367,299.05647830546934,67.94352169453063,0,183,22,2020-06-01
Austria,f,All,7500,6519.378144596289,980.6218554037109,34,2614.2249999999995,22,2020-06-01
Austria,m,0,21,15.59243775155896,5.407562248441041,0,21,22,2020-06-01
Austria,m,5,2,1.0958596773169818,0.9041403226830182,0,2,22,2020-06-01
Austria,m,10,16,14.879057316446929,1.1209426835530714,0,16,22,2020-06-01
Austria,m,15,16,11.935134313889852,4.064865686110148,0,16,22,2020-06-01
Austria,m,20,10,6.771021907707238,3.228978092292761,0,10,22,2020-06-01
Austria,m,25,26,15.53673945608267,10.46326054391733,0,26,22,2020-06-01
Austria,m,30,20,15.281021166697979,4.718978833302021,0,17,22,2020-06-01
Austria,m,35,44,33.206640494461006,10.79335950553899,0,37,22,2020-06-01
Austria,m,40,122,81.7796928032034,40.22030719679659,4,97,22,2020-06-01
Austria,m,45,138,108.20434845767319,29.79565154232681,3,94,22,2020-06-01
Austria,m,50,242,198.8891762211599,43.1108237788401,0,125,22,2020-06-01
Austria,m,55,500,393.4591978484757,106.54080215152432,14.975000000000136,243,22,2020-06-01
Austria,m,60,528,452.7514356814315,75.24856431856853,0,204.02499999999995,22,2020-06-01
Austria,m,65,880,764.621854973609,115.378145026391,3,325,22,2020-06-01
Austria,m,70,1138,973.949262584345,164.05073741565502,24.975000000000136,387,22,2020-06-01
Austria,m,75,1133,969.8747565250299,163.1252434749702,28,346.025,22,2020-06-01
Austria,m,80,1851,1588.9550380519925,262.04496194800754,55.95000000000027,551.05,22,2020-06-01
Austria,m,85,828,766.6314301034554,61.368569896544585,0,204,22,2020-06-01
Austria,m,90,493,465.6765424464286,27.32345755357143,0,135,22,2020-06-01
Austria,m,95,179,147.91248435916665,31.08751564083335,0,86,22,2020-06-01
Austria,m,100,61,49.20390402664034,11.79609597335966,0,42,22,2020-06-01
Austria,m,All,8248,7076.207036166772,1171.7929638332275,133.90000000000055,2984.1,22,2020-06-01
Belgium,b,5,4,2.530678029617702,1.4693219703822982,0,4,22,2020-06-01
