Country,Sex,Age,deaths,baseline,excess,excess_ll,excess_ul,last_week,last_date
SWE,b,85+,32930,24870.55092,8059.449083,7180.685534,8938.212631,18,5/3/2020
SWE,b,Total,73250,57297.78775,15952.21225,14408.77867,17512.77134,18,5/3/2020
SWE,f,0-14,32,26.74171828,5.258281723,1.527352511,12.42680389,15,4/12/2020
SWE,f,15-64,1260,1179.362721,80.63727902,37.00882333,139.8568152,16,4/19/2020
SWE,f,65-74,4678,3804.84147,873.1585304,718.0529093,1046.677888,18,5/3/2020
SWE,f,75-84,9768,7626.077661,2141.922339,1887.699566,2396.145112,18,5/3/2020
SWE,f,85+,19571,14357.34425,5213.655749,4647.368168,5779.94333,18,5/3/2020
SWE,f,Total,36678,28434.10484,8243.895157,7447.537395,9040.25292,18,5/3/2020
SWE,m,0-14,121,95.35425071,25.64574929,8.12437537,53.07512826,18,5/3/2020
SWE,m,15-64,4128,3302.520502,825.4794985,683.8188671,986.4763518,18,5/3/2020
SWE,m,65-74,6017,4853.581043,1163.418957,991.3761997,1350.266291,18,5/3/2020
SWE,m,75-84,10960,8512.780674,2447.219326,2202.844483,2699.741554,18,5/3/2020
SWE,m,85+,12434,9566.753118,2867.246882,2526.483834,3257.810957,18,5/3/2020
SWE,m,Total,34944,27182.03049,7761.969511,7016.976093,8535.567985,18,5/3/2020
USA,b,0-14,534,533.4671554,0.532844611,0,20.5869188,9,3/1/2020
USA,b,15-64,70165,67150.58149,3014.418509,2259.499332,3879.989249,15,4/12/2020
USA,b,65-74,37517,33579.6481,3937.351896,3652.419221,4222.284571,15,4/12/2020
USA,b,75-84,46733,41978.64883,4754.351174,4377.646442,5179.872905,15,4/12/2020
USA,b,85+,58331,52449.81769,5881.182311,5408.598425,6441.351531,15,4/12/2020
USA,b,Total,186462,169347.5898,17114.41016,15706.36947,18676.48443,15,4/12/2020
USA,f,15-64,17220,16392.12743,827.8725691,657.3836124,1074.352062,15,4/12/2020
USA,f,65-74,19962,18170.20893,1791.791071,1596.56483,2028.076061,16,4/19/2020
USA,f,75-84,21821,19403.96247,2417.037533,2204.34699,2629.728075,15,4/12/2020
USA,f,85+,43231,39116.6916,4114.308402,3639.928837,4609.082017,16,4/19/2020
USA,f,Total,81547,74503.06418,7043.93582,6558.279833,7747.254645,15,4/12/2020
USA,m,0-14,300,298.7946258,1.205374164,0,16.18333004,9,3/1/2020
USA,m,15-64,50109,47849.44023,2259.559765,1664.26343,2872.05168,15,4/12/2020
USA,m,65-74,22050,19899.50329,2150.496715,1986.986718,2372.202865,15,4/12/2020
USA,m,75-84,17342,15002.98936,2339.010643,2182.848347,2495.172938,15,4/12/2020
USA,m,85+,17291,15332.99697,1958.003032,1733.231868,2182.774197,15,4/12/2020
USA,m,Total,104912,94842.68969,10069.31031,9163.547553,10975.07307,15,4/12/2020
AUT,b,Aggr,12260,11532.73497,727.265029,329.0420672,1230.053839,14,4/5/2020
AUT,f,Aggr,5616,5298.451239,317.5487608,103.1675554,632.2692834,14,4/5/2020
AUT,m,Aggr,5736,5311.077212,424.9227881,155.8818794,764.5247435,14,4/5/2020
BEL,b,Aggr,22744,15602.01468,7141.985319,6564.786205,7800.139026,16,4/19/2020
BEL,f,Aggr,11720,7967.321125,3752.678875,3388.392046,4184.546942,16,4/19/2020
BEL,m,Aggr,12014,8395.734569,3618.265431,3217.387589,4042.656528,16,4/19/2020
DEUTNP,b,Aggr,137005,131818.084,5186.915983,2017.079346,9615.361476,16,4/19/2020
DEUTNP,f,Aggr,72149,69534.86593,2614.134065,1034.311177,5067.985574,16,4/19/2020
DEUTNP,m,Aggr,67722,65137.36892,2584.631082,995.3461982,4682.64801,16,4/19/2020
DNK,b,Aggr,5516,5102.324301,413.6756985,208.3532357,665.3460141,17,4/26/2020
DNK,f,Aggr,2670,2484.210302,185.7896982,52.67850139,374.3141916,17,4/26/2020
DNK,m,Aggr,3231,2878.565196,352.4348039,204.0476835,531.3544445,17,4/26/2020
ESP,b,Aggr,105935,74269.6964,31665.3036,29448.99512,34045.48307,19,5/10/2020
ESP,f,Aggr,51061,36313.65366,14747.34634,13416.22851,16204.64468,19,5/10/2020
