"","Country","Year","Age","Female","Male","Total"
"132","Netherlands","2017",55,636712,644905,1281617
"133","Netherlands","2017",60,595535,596070,1191605
"134","Netherlands","2017",65,535976,532366,1068342
"135","Netherlands","2017",70,511885,503756,1015641
"136","Netherlands","2017",75,414994,392865,807859
"137","Netherlands","2017",80,307610,264275,571885
"138","Netherlands","2017",85,234068,168051,402119
"139","Netherlands","2017",90,154400.73,85198.36,239599.09
"140","Netherlands","2017",95,90110.65,32237.7,122348.35
"141","Norway","2017",0,28685,30650,59335
"142","Norway","2017",5,118951,125207,244158
"143","Norway","2017",10,157062,165749,322811
"144","Norway","2017",15,152249,159157,311406
"145","Norway","2017",20,157060,167960,325020
"146","Norway","2017",25,165743,177559,343302
"147","Norway","2017",30,180859,187079,367938
"148","Norway","2017",35,172234,182649,354883
"149","Norway","2017",40,167065,178077,345142
"150","Norway","2017",45,176108,186902,363010
"151","Norway","2017",50,184418,194302,378720
"152","Norway","2017",55,170752,180770,351522
"153","Norway","2017",60,156456,162575,319031
"154","Norway","2017",65,148103,149114,297217
"155","Norway","2017",70,136749,136705,273454
"156","Norway","2017",75,118995,113064,232059
"157","Norway","2017",80,80077,68252,148329
"158","Norway","2017",85,60266,44336,104602
"159","Norway","2017",90,45274,26499,71773
"160","Norway","2017",95,32078,12539,44617
"161","Portugal","2017",0,42316,44759,87075
"162","Portugal","2017",5,166212,174957,341169
"163","Portugal","2017",10,239685,250319,490004
"164","Portugal","2017",15,255811,268357,524168
"165","Portugal","2017",20,273137,285028,558165
"166","Portugal","2017",25,265609,272947,538556
"167","Portugal","2017",30,275467,276452,551919
"168","Portugal","2017",35,314611,300227,614838
"169","Portugal","2017",40,380557,350696,731253
"170","Portugal","2017",45,423942,387780,811722
"171","Portugal","2017",50,396311,362673,758984
"172","Portugal","2017",55,398173,358709,756882
"173","Portugal","2017",60,377007,337798,714805
"174","Portugal","2017",65,349242,304151,653393
"175","Portugal","2017",70,327471,279324,606795
"176","Portugal","2017",75,286597,223647,510244
"177","Portugal","2017",80,247797,178883,426680
"178","Portugal","2017",85,213101,134204,347305
"179","Portugal","2017",90,126887.31,66417.73,193305.04
"180","Portugal","2017",95,68637.12,26031.86,94668.98
"181","Spain","2017",0,199294,210606,409900
"182","Spain","2017",5,843819,896924,1740743
"183","Spain","2017",10,1189535,1269088,2458623
"184","Spain","2017",15,1162536,1233379,2395915
"185","Spain","2017",20,1077899,1145115,2223014
"186","Spain","2017",25,1107591,1153358,2260949
"187","Spain","2017",30,1253877,1264891,2518768
"188","Spain","2017",35,1485154,1476628,2961782
"189","Spain","2017",40,1840995,1876443,3717438
"190","Spain","2017",45,1947408,2013703,3961111
"191","Spain","2017",50,1852964,1890130,3743094
"192","Spain","2017",55,1766518,1758470,3524988
"193","Spain","2017",60,1599521,1552325,3151846
"194","Spain","2017",65,1355869,1281367,2637236
"195","Spain","2017",70,1241726,1128893,2370619
"196","Spain","2017",75,1105143,950699,2055842
"197","Spain","2017",80,860196,673917,1534113
"198","Spain","2017",85,863378,585833,1449211
"199","Spain","2017",90,587358.85,330582.51,917941.36
"200","Spain","2017",95,349735.11,140067.57,489802.68
"201","Sweden","2017",0,58018,61005,119023
"202","Sweden","2017",5,231631,246387,478018
"203","Sweden","2017",10,291852,309001,600853
"204","Sweden","2017",15,273831,289269,563100
"205","Sweden","2017",20,253037,276575,529612
"206","Sweden","2017",25,309158,331021,640179
"207","Sweden","2017",30,346470,365217,711687
"208","Sweden","2017",35,310855,330321,641176
"209","Sweden","2017",40,301728,315589,617317
