"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"201","Vatican City",NA,0,0,12,0,0
"202","Montserrat",1,0,0,11,0,0
"203","Suriname",1,0,0,11,0,0
"204","Greenland",NA,0,0,11,0,0
"205","Seychelles",NA,0,0,11,0,0
"206","MS Zaandam",2,0,0,9,0,0
"207","British Virgin Islands",1,0,0,8,0,0
"208","Papua New Guinea",NA,0,0,8,0,0
"209","Caribbean Netherlands",NA,0,0,6,0,0
"210","St. Barth",NA,0,0,6,0,0
"211","Western Sahara",NA,0,0,6,0,0
"212","Anguilla",NA,0,0,3,0,0
"213","Lesotho",NA,0,0,1,0,0
"214","Saint Pierre Miquelon",NA,0,0,1,0,0
"215","China",4634,1023,22.08,82967,44672,53.84
