"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",114159,94371.1,82.67,2045984,1920904,93.89
"2","Brazil",38497,31502,81.83,742084,NA,0
"3","Russia",6358,0,0,493657,0,0
"4","England",40883,27282.9,66.73,289140,NA,0
"5","Spain",27136,28627.9,105.5,289046,234823.9,81.24
"6","India",7745,14688.5,189.65,276583,511072.6,184.78
"7","Italy",34043,31676,93.05,235561,230810.9,97.98
"8","Peru",5738,0,0,203736,0,0
"9","Germany",8831,8090.1,91.61,186516,176007,94.37
"10","Iran",8425,0,0,175927,0,0
"11","Turkey",4729,0,0,172114,0,0
"12","France",29296,18539.1,63.28,154591,NA,0
"13","Chile",2283,12,0.53,142759,2373.1,1.66
"14","Mexico",14649,7633,52.11,124301,71105,57.2
"15","Pakistan",2255,1188.1,52.69,113702,51674,45.45
"16","Saudi Arabia",783,0,0,108571,0,0
"17","Canada",7897,3765,47.68,96653,59843,61.92
"18","Bangladesh",1012,1011.9,99.99,74865,74864.9,100
"19","Qatar",62,0,0,71879,0,0
"20","Belgium",9629,9599.7,99.7,59569,59257.8,99.48
"21","South Africa",1162,33.9,2.92,52991,NA,0
"22","Belarus",282,0,0,50265,0,0
"23","Netherlands",6031,6041.9,100.18,47903,48087.2,100.38
"24","Sweden",4717,4395,93.17,45924,37113,80.81
"25","Ecuador",3690,507.2,13.75,43917,9620.9,21.91
"26","Colombia",1372,1365.9,99.56,42078,41790,99.32
"27","UAE",283,0,0,39904,0,0
"28","Singapore",25,0,0,38965,0,0
"29","Egypt",1306,0,0,36829,0,0
"30","Portugal",1492,470,31.5,35306,15987,45.28
"31","Indonesia",1959,0,0,34316,0,0
"32","Kuwait",275,0,0,33823,0,0
"33","Switzerland",1934,1657,85.68,31011,30883.6,99.59
"34","Ukraine",833,0,0,28381,0,0
"35","Poland",1191,0,0,27668,0,0
"36","Ireland",1691,1343,79.42,25215,24569,97.44
"37","Argentina",717,355.9,49.64,24761,NA,0
"38","Philippines",1027,909,88.51,23732,20348,85.74
"39","Afghanistan",405,0,0,22142,0,0
"40","Romania",1360,43,3.16,20945,1760,8.4
"41","Dominican Republic",544,1100,202.21,20415,41594.9,203.75
"42","Oman",84,0,0,18887,0,0
"43","Israel",299,236,78.93,18268,NA,0
"44","Panama",403,74.1,18.39,17233,2973.9,17.26
"45","Japan",916,624,68.12,17210,16073.9,93.4
"46","Austria",673,646,95.99,17005,16908.1,99.43
"47","Bahrain",30,0,0,16200,0,0
"48","Bolivia",487,34.1,7,14644,597.9,4.08
"49","Iraq",392,0,0,14268,0,0
"50","Armenia",227,0,0,14103,0,0
"51","Nigeria",365,0,0,13464,0,0
"52","Kazakhstan",61,0,0,13319,0,0
"53","Denmark",593,550.9,92.9,12001,11044,92.03
