"","country","sex","time","age.code","sle_un"
"127","Bolivia","female","2015-2020",30,49.29
"128","Bolivia","female","2015-2020",35,44.69
"129","Bolivia","female","2015-2020",40,40.18
"130","Bolivia","female","2015-2020",45,35.71
"131","Bolivia","female","2015-2020",50,31.41
"132","Bolivia","female","2015-2020",55,27.34
"133","Bolivia","female","2015-2020",60,23.48
"134","Bolivia","female","2015-2020",65,19.98
"135","Bolivia","female","2015-2020",70,16.72
"136","Bolivia","female","2015-2020",75,13.54
"137","Bolivia","female","2015-2020",80,10.67
"138","Bolivia","female","2015-2020",85,8.25
"139","Bolivia","female","2015-2020",90,6.3
"140","Bolivia","female","2015-2020",95,4.87
"141","Brazil","female","2015-2020",0,79.27
"142","Brazil","female","2015-2020",5,75.37
"143","Brazil","female","2015-2020",10,70.44
"144","Brazil","female","2015-2020",15,65.53
"145","Brazil","female","2015-2020",20,60.67
"146","Brazil","female","2015-2020",25,55.84
"147","Brazil","female","2015-2020",30,51.01
"148","Brazil","female","2015-2020",35,46.24
"149","Brazil","female","2015-2020",40,41.53
"150","Brazil","female","2015-2020",45,36.89
"151","Brazil","female","2015-2020",50,32.4
"152","Brazil","female","2015-2020",55,28.06
"153","Brazil","female","2015-2020",60,23.87
"154","Brazil","female","2015-2020",65,19.95
"155","Brazil","female","2015-2020",70,16.3
"156","Brazil","female","2015-2020",75,12.98
"157","Brazil","female","2015-2020",80,10.1
"158","Brazil","female","2015-2020",85,7.7
"159","Brazil","female","2015-2020",90,5.76
"160","Brazil","female","2015-2020",95,4.14
"161","Cameroon","female","2015-2020",0,60.02
"162","Cameroon","female","2015-2020",5,60.37
"163","Cameroon","female","2015-2020",10,56.1
"164","Cameroon","female","2015-2020",15,51.57
"165","Cameroon","female","2015-2020",20,47.16
"166","Cameroon","female","2015-2020",25,42.92
"167","Cameroon","female","2015-2020",30,38.83
"168","Cameroon","female","2015-2020",35,34.81
"169","Cameroon","female","2015-2020",40,30.88
"170","Cameroon","female","2015-2020",45,27.01
"171","Cameroon","female","2015-2020",50,23.17
"172","Cameroon","female","2015-2020",55,19.45
"173","Cameroon","female","2015-2020",60,15.84
"174","Cameroon","female","2015-2020",65,12.49
"175","Cameroon","female","2015-2020",70,9.5
"176","Cameroon","female","2015-2020",75,6.96
"177","Cameroon","female","2015-2020",80,4.84
"178","Cameroon","female","2015-2020",85,3.24
"179","Cameroon","female","2015-2020",90,2.11
"180","Cameroon","female","2015-2020",95,1.51
"181","Canada","female","2015-2020",0,84.25
"182","Canada","female","2015-2020",5,79.64
"183","Canada","female","2015-2020",10,74.66
"184","Canada","female","2015-2020",15,69.69
"185","Canada","female","2015-2020",20,64.76
"186","Canada","female","2015-2020",25,59.85
"187","Canada","female","2015-2020",30,54.94
"188","Canada","female","2015-2020",35,50.04
"189","Canada","female","2015-2020",40,45.17
"190","Canada","female","2015-2020",45,40.36
"191","Canada","female","2015-2020",50,35.64
"192","Canada","female","2015-2020",55,31.02
"193","Canada","female","2015-2020",60,26.52
"194","Canada","female","2015-2020",65,22.16
"195","Canada","female","2015-2020",70,18.02
"196","Canada","female","2015-2020",75,14.14
"197","Canada","female","2015-2020",80,10.58
"198","Canada","female","2015-2020",85,7.45
"199","Canada","female","2015-2020",90,5.03
"200","Canada","female","2015-2020",95,3.33
"201","Chile","female","2015-2020",0,82.32
"202","Chile","female","2015-2020",5,77.91
"203","Chile","female","2015-2020",10,72.97
"204","Chile","female","2015-2020",15,68.03
"205","Chile","female","2015-2020",20,63.12
"206","Chile","female","2015-2020",25,58.22
"207","Chile","female","2015-2020",30,53.32
"208","Chile","female","2015-2020",35,48.44
"209","Chile","female","2015-2020",40,43.61
"210","Chile","female","2015-2020",45,38.84
"211","Chile","female","2015-2020",50,34.17
"212","Chile","female","2015-2020",55,29.62
"213","Chile","female","2015-2020",60,25.21
"214","Chile","female","2015-2020",65,21
"215","Chile","female","2015-2020",70,17.06
"216","Chile","female","2015-2020",75,13.44
"217","Chile","female","2015-2020",80,10.23
"218","Chile","female","2015-2020",85,7.59
"219","Chile","female","2015-2020",90,5.6
"220","Chile","female","2015-2020",95,4.13
"221","China","female","2015-2020",0,78.97
"222","China","female","2015-2020",5,74.73
"223","China","female","2015-2020",10,69.83
"224","China","female","2015-2020",15,64.89
"225","China","female","2015-2020",20,59.98
"226","China","female","2015-2020",25,55.09
"227","China","female","2015-2020",30,50.21
"228","China","female","2015-2020",35,45.36
"229","China","female","2015-2020",40,40.53
"230","China","female","2015-2020",45,35.75
"231","China","female","2015-2020",50,31.02
"232","China","female","2015-2020",55,26.41
"233","China","female","2015-2020",60,21.95
"234","China","female","2015-2020",65,17.8
"235","China","female","2015-2020",70,14.03
"236","China","female","2015-2020",75,10.8
"237","China","female","2015-2020",80,8.11
"238","China","female","2015-2020",85,6.03
"239","China","female","2015-2020",90,4.58
"240","China","female","2015-2020",95,3.54
"241","Czechia","female","2015-2020",0,81.76
"242","Czechia","female","2015-2020",5,76.96
"243","Czechia","female","2015-2020",10,71.99
"244","Czechia","female","2015-2020",15,67.02
"245","Czechia","female","2015-2020",20,62.08
"246","Czechia","female","2015-2020",25,57.15
"247","Czechia","female","2015-2020",30,52.22
"248","Czechia","female","2015-2020",35,47.3
"249","Czechia","female","2015-2020",40,42.43
"250","Czechia","female","2015-2020",45,37.61
"251","Czechia","female","2015-2020",50,32.89
"252","Czechia","female","2015-2020",55,28.29
"253","Czechia","female","2015-2020",60,23.84
"254","Czechia","female","2015-2020",65,19.59
"255","Czechia","female","2015-2020",70,15.59
"256","Czechia","female","2015-2020",75,11.86
"257","Czechia","female","2015-2020",80,8.51
"258","Czechia","female","2015-2020",85,5.82
"259","Czechia","female","2015-2020",90,3.9
"260","Czechia","female","2015-2020",95,2.56
"261","Denmark","female","2015-2020",0,82.68
"262","Denmark","female","2015-2020",5,77.96
"263","Denmark","female","2015-2020",10,72.98
"264","Denmark","female","2015-2020",15,68
"265","Denmark","female","2015-2020",20,63.04
"266","Denmark","female","2015-2020",25,58.1
"267","Denmark","female","2015-2020",30,53.15
"268","Denmark","female","2015-2020",35,48.23
"269","Denmark","female","2015-2020",40,43.33
"270","Denmark","female","2015-2020",45,38.5
"271","Denmark","female","2015-2020",50,33.77
"272","Denmark","female","2015-2020",55,29.2
"273","Denmark","female","2015-2020",60,24.81
"274","Denmark","female","2015-2020",65,20.59
"275","Denmark","female","2015-2020",70,16.57
"276","Denmark","female","2015-2020",75,12.83
"277","Denmark","female","2015-2020",80,9.58
"278","Denmark","female","2015-2020",85,6.89
"279","Denmark","female","2015-2020",90,4.68
"280","Denmark","female","2015-2020",95,3.21
"281","Dominican Republic","female","2015-2020",0,77.12
"282","Dominican Republic","female","2015-2020",5,74.05
"283","Dominican Republic","female","2015-2020",10,69.17
"284","Dominican Republic","female","2015-2020",15,64.26
"285","Dominican Republic","female","2015-2020",20,59.44
"286","Dominican Republic","female","2015-2020",25,54.69
"287","Dominican Republic","female","2015-2020",30,50.02
"288","Dominican Republic","female","2015-2020",35,45.41
"289","Dominican Republic","female","2015-2020",40,40.82
"290","Dominican Republic","female","2015-2020",45,36.32
"291","Dominican Republic","female","2015-2020",50,31.93
"292","Dominican Republic","female","2015-2020",55,27.67
"293","Dominican Republic","female","2015-2020",60,23.58
"294","Dominican Republic","female","2015-2020",65,19.78
"295","Dominican Republic","female","2015-2020",70,16.29
"296","Dominican Republic","female","2015-2020",75,13.23
"297","Dominican Republic","female","2015-2020",80,10.59
"298","Dominican Republic","female","2015-2020",85,8.45
"299","Dominican Republic","female","2015-2020",90,6.75
"300","Dominican Republic","female","2015-2020",95,5.43
"301","Ecuador","female","2015-2020",0,79.56
"302","Ecuador","female","2015-2020",5,75.73
"303","Ecuador","female","2015-2020",10,70.87
"304","Ecuador","female","2015-2020",15,66
"305","Ecuador","female","2015-2020",20,61.21
"306","Ecuador","female","2015-2020",25,56.45
"307","Ecuador","female","2015-2020",30,51.68
"308","Ecuador","female","2015-2020",35,46.94
"309","Ecuador","female","2015-2020",40,42.24
"310","Ecuador","female","2015-2020",45,37.6
"311","Ecuador","female","2015-2020",50,33.05
"312","Ecuador","female","2015-2020",55,28.65
"313","Ecuador","female","2015-2020",60,24.4
"314","Ecuador","female","2015-2020",65,20.38
"315","Ecuador","female","2015-2020",70,16.48
"316","Ecuador","female","2015-2020",75,13
"317","Ecuador","female","2015-2020",80,10.01
"318","Ecuador","female","2015-2020",85,7.57
"319","Ecuador","female","2015-2020",90,6
"320","Ecuador","female","2015-2020",95,4.5
"321","England","female","2015-2020",0,82.9
"322","England","female","2015-2020",5,78.23
"323","England","female","2015-2020",10,73.26
"324","England","female","2015-2020",15,68.28
"325","England","female","2015-2020",20,63.34
"326","England","female","2015-2020",25,58.4
"327","England","female","2015-2020",30,53.48
"328","England","female","2015-2020",35,48.6
"329","England","female","2015-2020",40,43.75
"330","England","female","2015-2020",45,38.97
"331","England","female","2015-2020",50,34.27
"332","England","female","2015-2020",55,29.68
"333","England","female","2015-2020",60,25.22
"334","England","female","2015-2020",65,20.94
"335","England","female","2015-2020",70,16.85
"336","England","female","2015-2020",75,13.06
"337","England","female","2015-2020",80,9.64
"338","England","female","2015-2020",85,6.8
"339","England","female","2015-2020",90,4.63
"340","England","female","2015-2020",95,3.13
"341","Finland","female","2015-2020",0,84.52
"342","Finland","female","2015-2020",5,79.7
"343","Finland","female","2015-2020",10,74.72
"344","Finland","female","2015-2020",15,69.75
"345","Finland","female","2015-2020",20,64.81
"346","Finland","female","2015-2020",25,59.9
"347","Finland","female","2015-2020",30,54.99
"348","Finland","female","2015-2020",35,50.09
"349","Finland","female","2015-2020",40,45.21
"350","Finland","female","2015-2020",45,40.37
"351","Finland","female","2015-2020",50,35.61
"352","Finland","female","2015-2020",55,30.97
"353","Finland","female","2015-2020",60,26.44
"354","Finland","female","2015-2020",65,22.05
"355","Finland","female","2015-2020",70,17.81
"356","Finland","female","2015-2020",75,13.74
"357","Finland","female","2015-2020",80,10.02
"358","Finland","female","2015-2020",85,6.86
"359","Finland","female","2015-2020",90,4.51
"360","Finland","female","2015-2020",95,2.97
"361","France","female","2015-2020",0,85.36
"362","France","female","2015-2020",5,80.65
"363","France","female","2015-2020",10,75.67
"364","France","female","2015-2020",15,70.7
"365","France","female","2015-2020",20,65.75
"366","France","female","2015-2020",25,60.82
"367","France","female","2015-2020",30,55.89
"368","France","female","2015-2020",35,50.98
"369","France","female","2015-2020",40,46.11
"370","France","female","2015-2020",45,41.33
"371","France","female","2015-2020",50,36.66
"372","France","female","2015-2020",55,32.1
"373","France","female","2015-2020",60,27.63
"374","France","female","2015-2020",65,23.24
"375","France","female","2015-2020",70,18.93
"376","France","female","2015-2020",75,14.8
"377","France","female","2015-2020",80,10.97
"378","France","female","2015-2020",85,7.68
"379","France","female","2015-2020",90,5.15
"380","France","female","2015-2020",95,3.4
"381","Germany","female","2015-2020",0,83.55
"382","Germany","female","2015-2020",5,78.84
"383","Germany","female","2015-2020",10,73.86
"384","Germany","female","2015-2020",15,68.88
"385","Germany","female","2015-2020",20,63.93
"386","Germany","female","2015-2020",25,58.99
"387","Germany","female","2015-2020",30,54.05
"388","Germany","female","2015-2020",35,49.13
"389","Germany","female","2015-2020",40,44.25
"390","Germany","female","2015-2020",45,39.44
"391","Germany","female","2015-2020",50,34.73
"392","Germany","female","2015-2020",55,30.13
"393","Germany","female","2015-2020",60,25.64
"394","Germany","female","2015-2020",65,21.28
"395","Germany","female","2015-2020",70,17.11
"396","Germany","female","2015-2020",75,13.21
"397","Germany","female","2015-2020",80,9.79
"398","Germany","female","2015-2020",85,7.14
"399","Germany","female","2015-2020",90,5.02
"400","Germany","female","2015-2020",95,3.5
"401","Greece","female","2015-2020",0,84.48
"402","Greece","female","2015-2020",5,79.74
"403","Greece","female","2015-2020",10,74.77
"404","Greece","female","2015-2020",15,69.8
"405","Greece","female","2015-2020",20,64.83
"406","Greece","female","2015-2020",25,59.89
"407","Greece","female","2015-2020",30,54.94
"408","Greece","female","2015-2020",35,50.03
"409","Greece","female","2015-2020",40,45.14
"410","Greece","female","2015-2020",45,40.31
"411","Greece","female","2015-2020",50,35.55
"412","Greece","female","2015-2020",55,30.9
"413","Greece","female","2015-2020",60,26.38
"414","Greece","female","2015-2020",65,21.9
"415","Greece","female","2015-2020",70,17.54
"416","Greece","female","2015-2020",75,13.33
"417","Greece","female","2015-2020",80,9.56
"418","Greece","female","2015-2020",85,6.61
"419","Greece","female","2015-2020",90,4.6
"420","Greece","female","2015-2020",95,3.11
"421","India","female","2015-2020",0,70.53
"422","India","female","2015-2020",5,68.47
"423","India","female","2015-2020",10,63.72
"424","India","female","2015-2020",15,58.91
"425","India","female","2015-2020",20,54.19
"426","India","female","2015-2020",25,49.52
"427","India","female","2015-2020",30,44.84
"428","India","female","2015-2020",35,40.17
"429","India","female","2015-2020",40,35.55
"430","India","female","2015-2020",45,31.03
"431","India","female","2015-2020",50,26.6
"432","India","female","2015-2020",55,22.53
"433","India","female","2015-2020",60,18.62
"434","India","female","2015-2020",65,15.09
"435","India","female","2015-2020",70,11.92
"436","India","female","2015-2020",75,9.26
"437","India","female","2015-2020",80,6.95
"438","India","female","2015-2020",85,5.24
"439","India","female","2015-2020",90,4.1
"440","India","female","2015-2020",95,4.02
"441","Ireland","female","2015-2020",0,83.7
"442","Ireland","female","2015-2020",5,78.96
"443","Ireland","female","2015-2020",10,73.99
"444","Ireland","female","2015-2020",15,69.01
"445","Ireland","female","2015-2020",20,64.07
"446","Ireland","female","2015-2020",25,59.13
"447","Ireland","female","2015-2020",30,54.2
"448","Ireland","female","2015-2020",35,49.3
"449","Ireland","female","2015-2020",40,44.41
"450","Ireland","female","2015-2020",45,39.59
"451","Ireland","female","2015-2020",50,34.84
"452","Ireland","female","2015-2020",55,30.21
"453","Ireland","female","2015-2020",60,25.71
"454","Ireland","female","2015-2020",65,21.36
"455","Ireland","female","2015-2020",70,17.21
"456","Ireland","female","2015-2020",75,13.27
"457","Ireland","female","2015-2020",80,9.77
"458","Ireland","female","2015-2020",85,6.88
"459","Ireland","female","2015-2020",90,4.73
"460","Ireland","female","2015-2020",95,3.21
"461","Israel","female","2015-2020",0,84.32
"462","Israel","female","2015-2020",5,79.55
"463","Israel","female","2015-2020",10,74.58
"464","Israel","female","2015-2020",15,69.6
"465","Israel","female","2015-2020",20,64.64
"466","Israel","female","2015-2020",25,59.69
"467","Israel","female","2015-2020",30,54.75
"468","Israel","female","2015-2020",35,49.82
"469","Israel","female","2015-2020",40,44.92
"470","Israel","female","2015-2020",45,40.07
"471","Israel","female","2015-2020",50,35.28
"472","Israel","female","2015-2020",55,30.57
"473","Israel","female","2015-2020",60,25.99
"474","Israel","female","2015-2020",65,21.56
"475","Israel","female","2015-2020",70,17.34
"476","Israel","female","2015-2020",75,13.45
"477","Israel","female","2015-2020",80,10.03
"478","Israel","female","2015-2020",85,7.16
"479","Israel","female","2015-2020",90,5.04
"480","Israel","female","2015-2020",95,3.41
"481","Italy","female","2015-2020",0,85.35
"482","Italy","female","2015-2020",5,80.59
"483","Italy","female","2015-2020",10,75.62
"484","Italy","female","2015-2020",15,70.64
"485","Italy","female","2015-2020",20,65.69
"486","Italy","female","2015-2020",25,60.73
"487","Italy","female","2015-2020",30,55.78
"488","Italy","female","2015-2020",35,50.84
"489","Italy","female","2015-2020",40,45.93
"490","Italy","female","2015-2020",45,41.06
"491","Italy","female","2015-2020",50,36.28
"492","Italy","female","2015-2020",55,31.6
"493","Italy","female","2015-2020",60,27
"494","Italy","female","2015-2020",65,22.53
"495","Italy","female","2015-2020",70,18.2
"496","Italy","female","2015-2020",75,14.07
"497","Italy","female","2015-2020",80,10.31
"498","Italy","female","2015-2020",85,7.17
"499","Italy","female","2015-2020",90,4.84
"500","Italy","female","2015-2020",95,3.2
"501","Japan","female","2015-2020",0,87.47
"502","Japan","female","2015-2020",5,82.67
"503","Japan","female","2015-2020",10,77.7
"504","Japan","female","2015-2020",15,72.72
"505","Japan","female","2015-2020",20,67.77
"506","Japan","female","2015-2020",25,62.84
"507","Japan","female","2015-2020",30,57.92
"508","Japan","female","2015-2020",35,53.01
"509","Japan","female","2015-2020",40,48.13
"510","Japan","female","2015-2020",45,43.3
"511","Japan","female","2015-2020",50,38.53
"512","Japan","female","2015-2020",55,33.84
"513","Japan","female","2015-2020",60,29.21
"514","Japan","female","2015-2020",65,24.67
"515","Japan","female","2015-2020",70,20.24
"516","Japan","female","2015-2020",75,15.98
"517","Japan","female","2015-2020",80,12.02
"518","Japan","female","2015-2020",85,8.55
"519","Japan","female","2015-2020",90,5.79
"520","Japan","female","2015-2020",95,3.83
"521","Mexico","female","2015-2020",0,77.83
"522","Mexico","female","2015-2020",5,73.93
"523","Mexico","female","2015-2020",10,69.01
"524","Mexico","female","2015-2020",15,64.1
"525","Mexico","female","2015-2020",20,59.24
"526","Mexico","female","2015-2020",25,54.41
"527","Mexico","female","2015-2020",30,49.6
"528","Mexico","female","2015-2020",35,44.8
"529","Mexico","female","2015-2020",40,40.06
"530","Mexico","female","2015-2020",45,35.41
"531","Mexico","female","2015-2020",50,30.88
"532","Mexico","female","2015-2020",55,26.53
"533","Mexico","female","2015-2020",60,22.39
"534","Mexico","female","2015-2020",65,18.54
"535","Mexico","female","2015-2020",70,15.01
"536","Mexico","female","2015-2020",75,11.87
"537","Mexico","female","2015-2020",80,9.14
"538","Mexico","female","2015-2020",85,6.84
"539","Mexico","female","2015-2020",90,4.95
"540","Mexico","female","2015-2020",95,3.46
"541","Netherlands","female","2015-2020",0,83.77
"542","Netherlands","female","2015-2020",5,79.01
"543","Netherlands","female","2015-2020",10,74.03
"544","Netherlands","female","2015-2020",15,69.05
"545","Netherlands","female","2015-2020",20,64.1
"546","Netherlands","female","2015-2020",25,59.15
"547","Netherlands","female","2015-2020",30,54.21
"548","Netherlands","female","2015-2020",35,49.29
"549","Netherlands","female","2015-2020",40,44.4
"550","Netherlands","female","2015-2020",45,39.58
"551","Netherlands","female","2015-2020",50,34.84
"552","Netherlands","female","2015-2020",55,30.19
"553","Netherlands","female","2015-2020",60,25.65
"554","Netherlands","female","2015-2020",65,21.24
"555","Netherlands","female","2015-2020",70,17
"556","Netherlands","female","2015-2020",75,13.05
"557","Netherlands","female","2015-2020",80,9.54
"558","Netherlands","female","2015-2020",85,6.65
"559","Netherlands","female","2015-2020",90,4.48
"560","Netherlands","female","2015-2020",95,3.04
"561","New Zealand","female","2015-2020",0,83.8
"562","New Zealand","female","2015-2020",5,79.14
"563","New Zealand","female","2015-2020",10,74.16
"564","New Zealand","female","2015-2020",15,69.2
"565","New Zealand","female","2015-2020",20,64.3
"566","New Zealand","female","2015-2020",25,59.41
"567","New Zealand","female","2015-2020",30,54.49
"568","New Zealand","female","2015-2020",35,49.62
"569","New Zealand","female","2015-2020",40,44.76
"570","New Zealand","female","2015-2020",45,39.97
"571","New Zealand","female","2015-2020",50,35.26
"572","New Zealand","female","2015-2020",55,30.64
"573","New Zealand","female","2015-2020",60,26.09
"574","New Zealand","female","2015-2020",65,21.71
"575","New Zealand","female","2015-2020",70,17.54
"576","New Zealand","female","2015-2020",75,13.59
"577","New Zealand","female","2015-2020",80,10.01
"578","New Zealand","female","2015-2020",85,6.92
"579","New Zealand","female","2015-2020",90,4.6
"580","New Zealand","female","2015-2020",95,3.04
"581","Norway","female","2015-2020",0,84.2
"582","Norway","female","2015-2020",5,79.39
"583","Norway","female","2015-2020",10,74.41
"584","Norway","female","2015-2020",15,69.43
"585","Norway","female","2015-2020",20,64.5
"586","Norway","female","2015-2020",25,59.57
"587","Norway","female","2015-2020",30,54.63
"588","Norway","female","2015-2020",35,49.72
"589","Norway","female","2015-2020",40,44.82
"590","Norway","female","2015-2020",45,39.97
"591","Norway","female","2015-2020",50,35.2
"592","Norway","female","2015-2020",55,30.56
"593","Norway","female","2015-2020",60,26.03
"594","Norway","female","2015-2020",65,21.66
"595","Norway","female","2015-2020",70,17.49
"596","Norway","female","2015-2020",75,13.52
"597","Norway","female","2015-2020",80,9.94
"598","Norway","female","2015-2020",85,6.9
"599","Norway","female","2015-2020",90,4.55
"600","Norway","female","2015-2020",95,3
"601","Pakistan","female","2015-2020",0,68
"602","Pakistan","female","2015-2020",5,68.15
"603","Pakistan","female","2015-2020",10,63.52
"604","Pakistan","female","2015-2020",15,58.71
"605","Pakistan","female","2015-2020",20,53.94
"606","Pakistan","female","2015-2020",25,49.25
"607","Pakistan","female","2015-2020",30,44.51
"608","Pakistan","female","2015-2020",35,39.8
"609","Pakistan","female","2015-2020",40,35.15
"610","Pakistan","female","2015-2020",45,30.6
"611","Pakistan","female","2015-2020",50,26.17
"612","Pakistan","female","2015-2020",55,21.94
"613","Pakistan","female","2015-2020",60,17.95
"614","Pakistan","female","2015-2020",65,14.35
"615","Pakistan","female","2015-2020",70,11.14
"616","Pakistan","female","2015-2020",75,8.3
"617","Pakistan","female","2015-2020",80,5.91
"618","Pakistan","female","2015-2020",85,4.01
"619","Pakistan","female","2015-2020",90,2.71
"620","Pakistan","female","2015-2020",95,1.92
"621","Panama","female","2015-2020",0,81.53
"622","Panama","female","2015-2020",5,77.85
"623","Panama","female","2015-2020",10,72.94
"624","Panama","female","2015-2020",15,68.04
