"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"127","Rwanda",7,0,0,2152,0,0
"128","Guinea-Bissau",29,0,0,2088,0,0
"129","Benin",38,0,0,2001,0,0
"130","Iceland",10,10,100,1968,1813.8,92.16
"131","Sierra Leone",69,0,0,1917,0,0
"132","Yemen",518,0,0,1832,0,0
"133","Tunisia",51,0,0,1717,0,0
"134","Angola",78,0,0,1679,0,0
"135","New Zealand",22,21.9,99.55,1570,1569,99.94
"136","Uruguay",37,0,0,1364,0,0
"137","Gambia",32,1,3.12,1346,20,1.49
"138","Uganda",9,0,0,1313,1115,84.92
"139","Latvia",32,0,0,1293,0,0
"140","Jordan",11,0,0,1283,0,0
"141","Georgia",17,0,0,1264,0,0
"142","Syria",52,0,0,1255,0,0
"143","Cyprus",19,0,0,1252,0,0
"144","Liberia",79,0,0,1240,0,0
"145","Burkina Faso",54,53,98.15,1204,845.2,70.2
"146","Niger",69,0,0,1158,0,0
"147","Malta",9,0,0,1141,0,0
"148","Togo",25,23,92,1067,1059.9,99.33
"149","Botswana",2,1,50,1066,59.9,5.62
"150","Jamaica",14,12,85.71,1031,905.1,87.79
"151","Andorra",52,0,0,963,0,0
"152","Chad",76,0,0,945,0,0
"153","Bahamas",15,0,0,945,0,0
"154","Sao Tome and Principe",15,0,0,878,0,0
"155","Vietnam",16,0,0,863,0,0
"156","Lesotho",24,0,0,781,0,0
"157","Diamond Princess",13,0,0,712,0,0
"158","San Marino",42,0,0,699,0,0
"159","Réunion",5,0,0,690,0,0
"160","Aruba",3,0,0,630,0,0
"161","Channel Islands",47,0,0,599,0,0
"162","Guyana",22,0,0,568,0,0
"163","Tanzania",21,0,0,509,0,0
"164","Taiwan",7,7,100,480,448,93.33
"165","Burundi",1,0,0,408,0,0
"166","Comoros",7,0,0,399,0,0
"167","Myanmar",6,0,0,360,0,0
"168","Mauritius",10,0,0,344,0,0
"169","Isle of Man",24,0,0,336,0,0
"170","Martinique",16,0,0,336,0,0
"171","Faeroe Islands",NA,0,0,318,0,0
"172","Guadeloupe",14,0,0,317,0,0
"173","Trinidad and Tobago",8,0,0,295,0,0
"174","Mongolia",NA,0,0,293,0,0
"175","Eritrea",NA,0,0,285,0,0
"176","Cambodia",NA,0,0,266,0,0
"177","Turks and Caicos",2,0,0,216,0,0
"178","Papua New Guinea",3,0,0,214,0,0
"179","Sint Maarten",17,0,0,205,0,0
"180","Cayman Islands",1,0,0,203,0,0
"181","Gibraltar",NA,0,0,202,0,0
"182","Belize",2,0,0,177,0,0
"183","Bermuda",9,0,0,159,0,0
"184","Barbados",7,0,0,143,0,0
"185","Brunei",3,0,0,142,0,0
"186","Monaco",4,0,0,133,0,0
"187","Seychelles",NA,0,0,127,0,0
"188","Bhutan",NA,0,0,113,0,0
"189","French Polynesia",NA,0,0,112,0,0
"190","Antigua and Barbuda",3,0,0,92,0,0
"191","Liechtenstein",1,0,0,89,0,0
"192","Saint Martin",3,0,0,84,0,0
"193","St. Vincent Grenadines",NA,0,0,57,0,0
"194","Macao",NA,0,0,46,0,0
"195","Curaçao",1,0,0,32,0,0
"196","Fiji",1,0,0,27,0,0
"197","Saint Lucia",NA,0,0,25,0,0
"198","Timor-Leste",NA,0,0,25,0,0
"199","Grenada",NA,0,0,24,0,0
"200","New Caledonia",NA,0,0,23,0,0
"201","Laos",NA,0,0,20,0,0
"202","Dominica",NA,0,0,18,0,0
"203","Saint Kitts and Nevis",NA,0,0,17,0,0
"204","Greenland",NA,0,0,14,0,0
"205","Montserrat",1,0,0,13,0,0
"206","Caribbean Netherlands",NA,0,0,13,0,0
"207","Falkland Islands",NA,0,0,13,0,0
"208","St. Barth",NA,0,0,13,0,0
"209","Vatican City",NA,0,0,12,0,0
"210","Western Sahara",1,0,0,10,0,0
"211","MS Zaandam",2,0,0,9,0,0
"212","British Virgin Islands",1,0,0,9,0,0
"213","Saint Pierre Miquelon",NA,0,0,4,0,0
"214","Anguilla",NA,0,0,3,0,0
"215","China",4634,1023.1,22.08,84712,44671.9,52.73
